"Appliances_energy_use_Wh","Temperature_outside_celsius"
50,5.92E+00
50,6.00E+00
30,5.88E+00
20,5.77E+00
30,5.65E+00
20,5.53E+00
40,5.42E+00
50,5.30E+00
60,5.30E+00
50,5.30E+00
40,5.30E+00
40,5.30E+00
50,5.30E+00
40,5.30E+00
40,5.33E+00
50,5.37E+00
50,5.40E+00
50,5.43E+00
40,5.47E+00
30,5.50E+00
20,5.48E+00
20,5.47E+00
20,5.45E+00
50,5.43E+00
50,5.42E+00
50,5.40E+00
40,5.37E+00
40,5.33E+00
50,5.30E+00
40,5.27E+00
50,5.23E+00
50,5.20E+00
50,5.17E+00
40,5.13E+00
40,5.10E+00
50,5.07E+00
20,5.03E+00
20,5.00E+00
50,5.02E+00
30,5.03E+00
50,5.05E+00
50,5.07E+00
200,5.08E+00
110,5.10E+00
80,5.08E+00
50,5.07E+00
50,5.05E+00
50,5.03E+00
40,5.02E+00
40,5.00E+00
30,5.00E+00
180,5.00E+00
350,5.00E+00
350,5.00E+00
300,5.00E+00
400,5.00E+00
390,5.00E+00
290,5.00E+00
60,5.00E+00
70,5.00E+00
110,5.00E+00
90,5.00E+00
60,5.08E+00
70,5.17E+00
80,5.25E+00
60,5.33E+00
40,5.42E+00
30,5.50E+00
70,5.58E+00
50,5.67E+00
80,5.75E+00
80,5.83E+00
50,5.92E+00
40,6.00E+00
50,5.92E+00
40,5.83E+00
40,5.75E+00
50,5.67E+00
30,5.58E+00
30,5.50E+00
20,5.73E+00
20,5.97E+00
50,6.20E+00
40,6.43E+00
50,6.67E+00
40,6.90E+00
60,6.80E+00
40,6.70E+00
40,6.60E+00
50,6.50E+00
40,6.40E+00
40,6.30E+00
30,6.32E+00
30,6.33E+00
30,6.35E+00
40,6.37E+00
80,6.38E+00
70,6.40E+00
80,6.17E+00
70,5.93E+00
80,5.70E+00
80,5.47E+00
100,5.23E+00
90,5.00E+00
100,4.78E+00
90,4.57E+00
110,4.35E+00
90,4.13E+00
100,3.92E+00
100,3.70E+00
110,3.53E+00
100,3.37E+00
90,3.20E+00
90,3.03E+00
180,2.87E+00
140,2.70E+00
100,2.78E+00
110,2.87E+00
340,2.95E+00
380,3.03E+00
210,3.12E+00
150,3.20E+00
330,3.17E+00
420,3.13E+00
330,3.10E+00
130,3.07E+00
130,3.03E+00
110,3.00E+00
250,2.95E+00
520,2.90E+00
360,2.85E+00
330,2.80E+00
310,2.75E+00
270,2.70E+00
230,2.78E+00
170,2.87E+00
60,2.95E+00
30,3.03E+00
30,3.12E+00
30,3.20E+00
40,3.13E+00
50,3.07E+00
50,3.00E+00
40,2.93E+00
40,2.87E+00
50,2.80E+00
50,2.82E+00
40,2.83E+00
60,2.85E+00
40,2.87E+00
40,2.88E+00
50,2.90E+00
40,2.88E+00
30,2.87E+00
30,2.85E+00
30,2.83E+00
40,2.82E+00
40,2.80E+00
50,2.87E+00
40,2.93E+00
40,3.00E+00
40,3.07E+00
50,3.13E+00
50,3.20E+00
50,3.23E+00
40,3.27E+00
50,3.30E+00
40,3.33E+00
40,3.37E+00
20,3.40E+00
30,3.38E+00
30,3.37E+00
40,3.35E+00
50,3.33E+00
40,3.32E+00
40,3.30E+00
50,3.32E+00
40,3.33E+00
50,3.35E+00
50,3.37E+00
40,3.38E+00
50,3.40E+00
40,3.50E+00
40,3.60E+00
40,3.70E+00
40,3.80E+00
30,3.90E+00
70,4.00E+00
360,3.95E+00
400,3.90E+00
70,3.85E+00
70,3.80E+00
390,3.75E+00
100,3.70E+00
80,3.30E+00
70,2.90E+00
170,2.50E+00
360,2.10E+00
180,1.70E+00
130,1.30E+00
70,1.40E+00
70,1.50E+00
180,1.60E+00
170,1.70E+00
390,1.80E+00
420,1.90E+00
340,1.97E+00
550,2.03E+00
690,2.10E+00
620,2.17E+00
610,2.23E+00
490,2.30E+00
260,2.40E+00
240,2.50E+00
220,2.60E+00
130,2.70E+00
90,2.80E+00
290,2.90E+00
410,3.12E+00
320,3.33E+00
260,3.55E+00
210,3.77E+00
210,3.98E+00
140,4.20E+00
60,4.30E+00
50,4.40E+00
60,4.50E+00
50,4.60E+00
60,4.70E+00
140,4.80E+00
270,4.92E+00
200,5.03E+00
60,5.15E+00
50,5.27E+00
60,5.38E+00
80,5.50E+00
50,5.48E+00
40,5.47E+00
50,5.45E+00
50,5.43E+00
40,5.42E+00
30,5.40E+00
30,5.27E+00
200,5.13E+00
450,5.00E+00
400,4.87E+00
740,4.73E+00
910,4.60E+00
610,4.58E+00
510,4.57E+00
190,4.55E+00
110,4.53E+00
100,4.52E+00
90,4.50E+00
110,4.42E+00
100,4.33E+00
110,4.25E+00
100,4.17E+00
790,4.08E+00
380,4.00E+00
360,3.90E+00
360,3.80E+00
100,3.70E+00
100,3.60E+00
90,3.50E+00
90,3.40E+00
110,3.50E+00
140,3.60E+00
110,3.70E+00
100,3.80E+00
110,3.90E+00
130,4.00E+00
140,3.92E+00
130,3.83E+00
120,3.75E+00
100,3.67E+00
80,3.58E+00
50,3.50E+00
50,3.15E+00
50,2.80E+00
40,2.45E+00
50,2.10E+00
50,1.75E+00
50,1.40E+00
40,1.30E+00
30,1.20E+00
30,1.10E+00
40,1.00E+00
40,9.00E-01
50,8.00E-01
60,6.67E-01
50,5.33E-01
60,4.00E-01
50,2.67E-01
50,1.33E-01
50,0.00E+00
50,6.67E-02
50,1.33E-01
50,2.00E-01
60,2.67E-01
50,3.33E-01
50,4.00E-01
50,5.50E-01
50,7.00E-01
40,8.50E-01
50,1.00E+00
40,1.15E+00
30,1.30E+00
40,1.53E+00
30,1.77E+00
60,2.00E+00
50,2.23E+00
50,2.47E+00
40,2.70E+00
50,2.75E+00
60,2.80E+00
50,2.85E+00
50,2.90E+00
50,2.95E+00
50,3.00E+00
40,3.03E+00
50,3.07E+00
50,3.10E+00
50,3.13E+00
60,3.17E+00
50,3.20E+00
40,3.20E+00
50,3.20E+00
50,3.20E+00
50,3.20E+00
30,3.20E+00
70,3.20E+00
50,3.20E+00
50,3.20E+00
50,3.20E+00
50,3.20E+00
40,3.20E+00
50,3.20E+00
50,3.20E+00
150,3.20E+00
390,3.20E+00
390,3.20E+00
380,3.20E+00
400,3.20E+00
370,3.20E+00
310,3.20E+00
40,3.20E+00
50,3.20E+00
70,3.20E+00
60,3.20E+00
90,3.32E+00
60,3.43E+00
60,3.55E+00
100,3.67E+00
380,3.78E+00
390,3.90E+00
130,3.87E+00
60,3.83E+00
60,3.80E+00
50,3.77E+00
60,3.73E+00
60,3.70E+00
240,3.73E+00
80,3.77E+00
80,3.80E+00
400,3.83E+00
400,3.87E+00
460,3.90E+00
170,3.95E+00
210,4.00E+00
190,4.05E+00
70,4.10E+00
80,4.15E+00
60,4.20E+00
70,4.25E+00
60,4.30E+00
70,4.35E+00
60,4.40E+00
60,4.45E+00
60,4.50E+00
60,4.03E+00
60,3.57E+00
50,3.10E+00
50,2.63E+00
60,2.17E+00
50,1.70E+00
50,1.78E+00
70,1.87E+00
50,1.95E+00
60,2.03E+00
60,2.12E+00
90,2.20E+00
100,2.32E+00
90,2.43E+00
100,2.55E+00
110,2.67E+00
100,2.78E+00
80,2.90E+00
110,2.83E+00
260,2.77E+00
350,2.70E+00
500,2.63E+00
370,2.57E+00
330,2.50E+00
100,2.50E+00
110,2.50E+00
140,2.50E+00
310,2.50E+00
330,2.50E+00
190,2.50E+00
160,2.45E+00
160,2.40E+00
480,2.35E+00
280,2.30E+00
130,2.25E+00
150,2.20E+00
140,2.20E+00
130,2.20E+00
130,2.20E+00
340,2.20E+00
490,2.20E+00
230,2.20E+00
360,2.28E+00
410,2.37E+00
150,2.45E+00
80,2.53E+00
80,2.62E+00
70,2.70E+00
70,2.65E+00
70,2.60E+00
60,2.55E+00
60,2.50E+00
50,2.45E+00
50,2.40E+00
50,2.38E+00
30,2.35E+00
20,2.33E+00
40,2.30E+00
50,2.27E+00
50,2.25E+00
50,2.23E+00
60,2.20E+00
50,2.17E+00
60,2.15E+00
50,2.13E+00
40,2.10E+00
50,2.00E+00
50,1.90E+00
50,1.80E+00
50,1.70E+00
40,1.60E+00
30,1.50E+00
30,1.35E+00
40,1.20E+00
50,1.05E+00
50,9.00E-01
50,7.50E-01
50,6.00E-01
60,6.00E-01
50,6.00E-01
50,6.00E-01
40,6.00E-01
50,6.00E-01
50,6.00E-01
50,5.83E-01
50,5.67E-01
30,5.50E-01
30,5.33E-01
30,5.17E-01
50,5.00E-01
50,5.83E-01
40,6.67E-01
60,7.50E-01
60,8.33E-01
50,9.17E-01
50,1.00E+00
50,1.03E+00
220,1.07E+00
390,1.10E+00
380,1.13E+00
390,1.17E+00
390,1.20E+00
240,1.22E+00
40,1.23E+00
70,1.25E+00
50,1.27E+00
50,1.28E+00
70,1.30E+00
60,1.42E+00
70,1.53E+00
60,1.65E+00
50,1.77E+00
60,1.88E+00
60,2.00E+00
80,2.25E+00
100,2.50E+00
60,2.75E+00
70,3.00E+00
60,3.25E+00
60,3.50E+00
50,3.70E+00
50,3.90E+00
40,4.10E+00
50,4.30E+00
70,4.50E+00
60,4.70E+00
60,4.90E+00
80,5.10E+00
80,5.30E+00
80,5.50E+00
90,5.70E+00
90,5.90E+00
100,5.88E+00
80,5.87E+00
90,5.85E+00
80,5.83E+00
80,5.82E+00
80,5.80E+00
80,5.70E+00
90,5.60E+00
70,5.50E+00
50,5.40E+00
60,5.30E+00
70,5.20E+00
80,5.02E+00
70,4.83E+00
370,4.65E+00
410,4.47E+00
250,4.28E+00
80,4.10E+00
70,3.68E+00
70,3.27E+00
80,2.85E+00
70,2.43E+00
80,2.02E+00
80,1.60E+00
150,1.75E+00
380,1.90E+00
290,2.05E+00
270,2.20E+00
420,2.35E+00
280,2.50E+00
300,2.42E+00
350,2.33E+00
270,2.25E+00
560,2.17E+00
1080,2.08E+00
750,2.00E+00
390,1.80E+00
350,1.60E+00
340,1.40E+00
290,1.20E+00
230,1.00E+00
120,8.00E-01
110,7.33E-01
100,6.67E-01
110,6.00E-01
130,5.33E-01
140,4.67E-01
110,4.00E-01
100,4.17E-01
100,4.33E-01
110,4.50E-01
110,4.67E-01
190,4.83E-01
450,5.00E-01
210,5.83E-01
100,6.67E-01
90,7.50E-01
90,8.33E-01
80,9.17E-01
70,1.00E+00
70,9.17E-01
70,8.33E-01
60,7.50E-01
30,6.67E-01
30,5.83E-01
30,5.00E-01
40,5.50E-01
50,6.00E-01
60,6.50E-01
50,7.00E-01
50,7.50E-01
50,8.00E-01
50,8.33E-01
50,8.67E-01
50,9.00E-01
50,9.33E-01
60,9.67E-01
50,1.00E+00
60,9.00E-01
50,8.00E-01
40,7.00E-01
30,6.00E-01
30,5.00E-01
30,4.00E-01
60,4.33E-01
50,4.67E-01
60,5.00E-01
50,5.33E-01
50,5.67E-01
50,6.00E-01
40,5.83E-01
60,5.67E-01
50,5.50E-01
60,5.33E-01
50,5.17E-01
50,5.00E-01
40,4.83E-01
50,4.67E-01
50,4.50E-01
30,4.33E-01
40,4.17E-01
30,4.00E-01
50,4.17E-01
50,4.33E-01
40,4.50E-01
50,4.67E-01
50,4.83E-01
170,5.00E-01
400,2.83E-01
390,6.67E-02
370,-1.50E-01
390,-3.67E-01
370,-5.83E-01
380,-8.00E-01
100,-8.00E-01
90,-8.00E-01
470,-8.00E-01
320,-8.00E-01
270,-8.00E-01
260,-8.00E-01
230,-6.33E-01
470,-4.67E-01
400,-3.00E-01
290,-1.33E-01
100,3.33E-02
90,2.00E-01
90,3.83E-01
90,5.67E-01
90,7.50E-01
100,9.33E-01
80,1.12E+00
180,1.30E+00
440,1.48E+00
300,1.67E+00
250,1.85E+00
280,2.03E+00
460,2.22E+00
120,2.40E+00
120,2.48E+00
110,2.57E+00
130,2.65E+00
110,2.73E+00
120,2.82E+00
120,2.90E+00
120,2.92E+00
130,2.93E+00
120,2.95E+00
120,2.97E+00
410,2.98E+00
420,3.00E+00
140,3.02E+00
60,3.03E+00
60,3.05E+00
70,3.07E+00
80,3.08E+00
100,3.10E+00
80,3.03E+00
80,2.97E+00
70,2.90E+00
80,2.83E+00
80,2.77E+00
90,2.70E+00
80,2.38E+00
80,2.07E+00
80,1.75E+00
80,1.43E+00
80,1.12E+00
90,8.00E-01
130,5.33E-01
380,2.67E-01
800,0.00E+00
790,-2.67E-01
540,-5.33E-01
120,-8.00E-01
110,-8.33E-01
160,-8.67E-01
140,-9.00E-01
550,-9.33E-01
530,-9.67E-01
100,-1.00E+00
100,-1.03E+00
90,-1.07E+00
90,-1.10E+00
100,-1.13E+00
130,-1.17E+00
110,-1.20E+00
120,-1.25E+00
100,-1.30E+00
110,-1.35E+00
100,-1.40E+00
120,-1.45E+00
250,-1.50E+00
110,-1.57E+00
110,-1.63E+00
150,-1.70E+00
110,-1.77E+00
50,-1.83E+00
40,-1.90E+00
50,-1.97E+00
50,-2.03E+00
70,-2.10E+00
60,-2.17E+00
60,-2.23E+00
70,-2.30E+00
50,-2.38E+00
70,-2.47E+00
60,-2.55E+00
70,-2.63E+00
60,-2.72E+00
60,-2.80E+00
50,-2.88E+00
40,-2.97E+00
30,-3.05E+00
40,-3.13E+00
50,-3.22E+00
50,-3.30E+00
40,-3.42E+00
50,-3.53E+00
40,-3.65E+00
40,-3.77E+00
40,-3.88E+00
60,-4.00E+00
50,-4.00E+00
50,-4.00E+00
40,-4.00E+00
40,-4.00E+00
20,-4.00E+00
30,-4.00E+00
20,-4.00E+00
50,-4.00E+00
60,-4.00E+00
40,-4.00E+00
50,-4.00E+00
40,-4.00E+00
40,-4.00E+00
50,-4.00E+00
50,-4.00E+00
40,-4.00E+00
50,-4.00E+00
40,-4.00E+00
50,-4.08E+00
30,-4.17E+00
20,-4.25E+00
30,-4.33E+00
30,-4.42E+00
50,-4.50E+00
80,-4.55E+00
40,-4.60E+00
50,-4.65E+00
40,-4.70E+00
70,-4.75E+00
100,-4.80E+00
60,-4.75E+00
50,-4.70E+00
40,-4.65E+00
40,-4.60E+00
40,-4.55E+00
20,-4.50E+00
20,-4.43E+00
30,-4.37E+00
50,-4.30E+00
50,-4.23E+00
40,-4.17E+00
40,-4.10E+00
40,-4.00E+00
40,-3.90E+00
50,-3.80E+00
50,-3.70E+00
50,-3.60E+00
40,-3.50E+00
40,-3.28E+00
20,-3.07E+00
20,-2.85E+00
30,-2.63E+00
40,-2.42E+00
50,-2.20E+00
50,-2.07E+00
40,-1.93E+00
40,-1.80E+00
50,-1.67E+00
40,-1.53E+00
40,-1.40E+00
50,-1.35E+00
40,-1.30E+00
50,-1.25E+00
40,-1.20E+00
20,-1.15E+00
20,-1.10E+00
30,-1.02E+00
40,-9.33E-01
50,-8.50E-01
50,-7.67E-01
50,-6.83E-01
40,-6.00E-01
40,-5.67E-01
40,-5.33E-01
40,-5.00E-01
40,-4.67E-01
50,-4.33E-01
50,-4.00E-01
30,-4.17E-01
20,-4.33E-01
30,-4.50E-01
30,-4.67E-01
40,-4.83E-01
50,-5.00E-01
50,-6.17E-01
50,-7.33E-01
40,-8.50E-01
40,-9.67E-01
50,-1.08E+00
40,-1.20E+00
40,-1.33E+00
40,-1.47E+00
40,-1.60E+00
20,-1.73E+00
30,-1.87E+00
30,-2.00E+00
70,-2.08E+00
230,-2.17E+00
660,-2.25E+00
510,-2.33E+00
300,-2.42E+00
300,-2.50E+00
350,-2.50E+00
90,-2.50E+00
100,-2.50E+00
130,-2.50E+00
200,-2.50E+00
480,-2.50E+00
430,-2.58E+00
630,-2.67E+00
600,-2.75E+00
470,-2.83E+00
740,-2.92E+00
600,-3.00E+00
560,-3.17E+00
440,-3.33E+00
280,-3.50E+00
110,-3.67E+00
80,-3.83E+00
70,-4.00E+00
50,-4.15E+00
50,-4.30E+00
60,-4.45E+00
60,-4.60E+00
50,-4.75E+00
60,-4.90E+00
50,-4.83E+00
50,-4.77E+00
40,-4.70E+00
30,-4.63E+00
40,-4.57E+00
50,-4.50E+00
50,-4.52E+00
50,-4.53E+00
40,-4.55E+00
50,-4.57E+00
40,-4.58E+00
50,-4.60E+00
40,-4.55E+00
50,-4.50E+00
50,-4.45E+00
40,-4.40E+00
40,-4.35E+00
30,-4.30E+00
20,-4.33E+00
20,-4.37E+00
40,-4.40E+00
50,-4.43E+00
40,-4.47E+00
50,-4.50E+00
50,-4.43E+00
40,-4.37E+00
40,-4.30E+00
50,-4.23E+00
50,-4.17E+00
50,-4.10E+00
40,-4.10E+00
50,-4.10E+00
20,-4.10E+00
30,-4.10E+00
10,-4.10E+00
40,-4.10E+00
60,-4.17E+00
40,-4.23E+00
50,-4.30E+00
40,-4.37E+00
40,-4.43E+00
40,-4.50E+00
70,-4.47E+00
50,-4.43E+00
50,-4.40E+00
40,-4.37E+00
30,-4.33E+00
30,-4.30E+00
20,-4.30E+00
50,-4.30E+00
50,-4.30E+00
50,-4.30E+00
50,-4.30E+00
40,-4.30E+00
40,-4.40E+00
50,-4.50E+00
40,-4.60E+00
40,-4.70E+00
40,-4.80E+00
40,-4.90E+00
20,-4.70E+00
30,-4.50E+00
30,-4.30E+00
40,-4.10E+00
40,-3.90E+00
40,-3.70E+00
50,-3.48E+00
50,-3.27E+00
50,-3.05E+00
40,-2.83E+00
40,-2.62E+00
40,-2.40E+00
20,-2.27E+00
20,-2.13E+00
30,-2.00E+00
50,-1.87E+00
40,-1.73E+00
50,-1.60E+00
40,-1.33E+00
40,-1.07E+00
40,-8.00E-01
40,-5.33E-01
50,-2.67E-01
50,0.00E+00
50,-3.33E-02
30,-6.67E-02
30,-1.00E-01
20,-1.33E-01
20,-1.67E-01
50,-2.00E-01
50,1.17E-01
50,4.33E-01
40,7.50E-01
40,1.07E+00
40,1.38E+00
40,1.70E+00
40,1.47E+00
50,1.23E+00
60,1.00E+00
20,7.67E-01
20,5.33E-01
30,3.00E-01
40,1.67E-01
40,3.33E-02
50,-1.00E-01
40,-2.33E-01
50,-3.67E-01
50,-5.00E-01
40,-7.50E-01
40,-1.00E+00
50,-1.25E+00
60,-1.50E+00
190,-1.75E+00
350,-2.00E+00
210,-2.12E+00
140,-2.23E+00
110,-2.35E+00
120,-2.47E+00
120,-2.58E+00
110,-2.70E+00
260,-2.75E+00
550,-2.80E+00
480,-2.85E+00
360,-2.90E+00
360,-2.95E+00
290,-3.00E+00
460,-3.25E+00
570,-3.50E+00
470,-3.75E+00
450,-4.00E+00
450,-4.25E+00
380,-4.50E+00
110,-4.35E+00
110,-4.20E+00
110,-4.05E+00
100,-3.90E+00
110,-3.75E+00
120,-3.60E+00
70,-3.67E+00
50,-3.73E+00
40,-3.80E+00
30,-3.87E+00
30,-3.93E+00
50,-4.00E+00
50,-4.08E+00
50,-4.17E+00
40,-4.25E+00
50,-4.33E+00
40,-4.42E+00
40,-4.50E+00
50,-4.55E+00
40,-4.60E+00
30,-4.65E+00
30,-4.70E+00
30,-4.75E+00
30,-4.80E+00
50,-4.81E+00
40,-4.82E+00
50,-4.83E+00
50,-4.84E+00
50,-4.86E+00
40,-4.87E+00
40,-4.88E+00
40,-4.89E+00
30,-4.90E+00
20,-4.91E+00
20,-4.92E+00
30,-4.93E+00
50,-4.94E+00
50,-4.96E+00
40,-4.97E+00
50,-4.98E+00
40,-4.99E+00
40,-5.00E+00
50,-4.83E+00
50,-4.67E+00
50,-4.50E+00
30,-4.33E+00
30,-4.17E+00
20,-4.00E+00
20,-3.83E+00
40,-3.67E+00
50,-3.50E+00
50,-3.33E+00
50,-3.17E+00
40,-3.00E+00
80,-2.97E+00
40,-2.93E+00
50,-2.90E+00
340,-2.87E+00
150,-2.83E+00
50,-2.80E+00
40,-2.73E+00
60,-2.67E+00
60,-2.60E+00
60,-2.53E+00
50,-2.47E+00
70,-2.40E+00
60,-2.37E+00
60,-2.33E+00
60,-2.30E+00
350,-2.27E+00
360,-2.23E+00
80,-2.20E+00
50,-2.17E+00
60,-2.13E+00
80,-2.10E+00
50,-2.07E+00
80,-2.03E+00
90,-2.00E+00
90,-1.95E+00
70,-1.90E+00
90,-1.85E+00
60,-1.80E+00
70,-1.75E+00
90,-1.70E+00
70,-1.57E+00
110,-1.43E+00
70,-1.30E+00
70,-1.17E+00
80,-1.03E+00
330,-9.00E-01
220,-8.17E-01
70,-7.33E-01
60,-6.50E-01
50,-5.67E-01
60,-4.83E-01
80,-4.00E-01
70,-2.83E-01
80,-1.67E-01
70,-5.00E-02
80,6.67E-02
70,1.83E-01
80,3.00E-01
50,3.50E-01
40,4.00E-01
30,4.50E-01
50,5.00E-01
80,5.50E-01
80,6.00E-01
80,6.00E-01
70,6.00E-01
90,6.00E-01
80,6.00E-01
80,6.00E-01
80,6.00E-01
70,5.50E-01
60,5.00E-01
50,4.50E-01
80,4.00E-01
80,3.50E-01
60,3.00E-01
70,2.67E-01
340,2.33E-01
360,2.00E-01
160,1.67E-01
120,1.33E-01
90,1.00E-01
90,5.00E-02
90,0.00E+00
80,-5.00E-02
170,-1.00E-01
830,-1.50E-01
540,-2.00E-01
340,-1.50E-01
410,-1.00E-01
390,-5.00E-02
360,0.00E+00
330,5.00E-02
210,1.00E-01
100,1.33E-01
160,1.67E-01
390,2.00E-01
440,2.33E-01
400,2.67E-01
420,3.00E-01
390,3.00E-01
410,3.00E-01
210,3.00E-01
70,3.00E-01
60,3.00E-01
50,3.00E-01
70,3.00E-01
160,3.00E-01
360,3.00E-01
150,3.00E-01
60,3.00E-01
60,3.00E-01
50,2.50E-01
50,2.00E-01
50,1.50E-01
50,1.00E-01
50,5.00E-02
60,0.00E+00
50,-1.67E-01
40,-3.33E-01
20,-5.00E-01
30,-6.67E-01
50,-8.33E-01
50,-1.00E+00
60,-1.17E+00
60,-1.33E+00
60,-1.50E+00
40,-1.67E+00
60,-1.83E+00
40,-2.00E+00
40,-1.80E+00
40,-1.60E+00
30,-1.40E+00
40,-1.20E+00
60,-1.00E+00
50,-8.00E-01
50,-7.83E-01
40,-7.67E-01
50,-7.50E-01
50,-7.33E-01
60,-7.17E-01
50,-7.00E-01
40,-7.83E-01
30,-8.67E-01
30,-9.50E-01
40,-1.03E+00
50,-1.12E+00
50,-1.20E+00
60,-1.37E+00
60,-1.53E+00
50,-1.70E+00
40,-1.87E+00
50,-2.03E+00
50,-2.20E+00
60,-2.13E+00
30,-2.07E+00
30,-2.00E+00
50,-1.93E+00
50,-1.87E+00
50,-1.80E+00
40,-1.97E+00
60,-2.13E+00
40,-2.30E+00
50,-2.47E+00
40,-2.63E+00
30,-2.80E+00
20,-3.05E+00
20,-3.30E+00
40,-3.55E+00
40,-3.80E+00
40,-4.05E+00
50,-4.30E+00
60,-3.83E+00
60,-3.37E+00
60,-2.90E+00
50,-2.43E+00
40,-1.97E+00
30,-1.50E+00
50,-1.08E+00
70,-6.67E-01
60,-2.50E-01
60,1.67E-01
60,5.83E-01
60,1.00E+00
60,1.20E+00
50,1.40E+00
50,1.60E+00
40,1.80E+00
50,2.00E+00
50,2.20E+00
60,2.43E+00
60,2.67E+00
50,2.90E+00
50,3.13E+00
50,3.37E+00
50,3.60E+00
50,3.73E+00
290,3.87E+00
360,4.00E+00
230,4.13E+00
60,4.27E+00
70,4.40E+00
70,4.45E+00
80,4.50E+00
60,4.55E+00
60,4.60E+00
40,4.65E+00
50,4.70E+00
50,4.67E+00
40,4.63E+00
40,4.60E+00
40,4.57E+00
50,4.53E+00
40,4.50E+00
50,4.13E+00
40,3.77E+00
40,3.40E+00
40,3.03E+00
40,2.67E+00
50,2.30E+00
40,1.97E+00
20,1.63E+00
20,1.30E+00
30,9.67E-01
50,6.33E-01
70,3.00E-01
90,1.17E-01
110,-6.67E-02
200,-2.50E-01
430,-4.33E-01
1070,-6.17E-01
890,-8.00E-01
590,-7.67E-01
100,-7.33E-01
100,-7.00E-01
120,-6.67E-01
150,-6.33E-01
120,-6.00E-01
120,-3.17E-01
160,-3.33E-02
480,2.50E-01
460,5.33E-01
360,8.17E-01
330,1.10E+00
310,9.83E-01
250,8.67E-01
220,7.50E-01
90,6.33E-01
80,5.17E-01
80,4.00E-01
70,2.33E-01
50,6.67E-02
50,-1.00E-01
40,-2.67E-01
40,-4.33E-01
40,-6.00E-01
30,-5.00E-01
50,-4.00E-01
50,-3.00E-01
40,-2.00E-01
50,-1.00E-01
40,0.00E+00
40,-5.00E-02
40,-1.00E-01
40,-1.50E-01
50,-2.00E-01
30,-2.50E-01
30,-3.00E-01
20,-3.00E-01
40,-3.00E-01
40,-3.00E-01
