Appliances,Temperature_outside_celsius,Pressure_outside_mm_hg,Humidity_outside_percent,Windspeed_meters_per_second
70,4.93E+00,740.4333333,94.66666667,4.166666667
40,4.97E+00,740.5666667,94.33333333,4.333333333
30,5.00E+00,740.7,94,4.5
20,5.03E+00,740.8333333,93.66666667,4.666666667
30,5.07E+00,740.9666667,93.33333333,4.833333333
40,5.10E+00,741.1,93,5
50,5.10E+00,741.2166667,92.66666667,5
60,5.10E+00,741.3333333,92.33333333,5
60,5.10E+00,741.45,92,5
70,5.10E+00,741.5666667,91.66666667,5
60,5.10E+00,741.6833333,91.33333333,5
140,5.10E+00,741.8,91,5
110,5.05E+00,741.8833333,91,5
90,5.00E+00,741.9666667,91,5
60,4.95E+00,742.05,91,5
60,4.90E+00,742.1333333,91,5
60,4.85E+00,742.2166667,91,5
50,4.80E+00,742.3,91,5
60,4.88E+00,742.3833333,91,5
50,4.97E+00,742.4666667,91,5
30,5.05E+00,742.55,91,5
40,5.13E+00,742.6333333,91,5
30,5.22E+00,742.7166667,91,5
260,5.30E+00,742.8,91,5
500,5.48E+00,742.8833333,90.16666667,5
450,5.67E+00,742.9666667,89.33333333,5
50,5.85E+00,743.05,88.5,5
60,6.03E+00,743.1333333,87.66666667,5
60,6.22E+00,743.2166667,86.83333333,5
50,6.40E+00,743.3,86,5
50,6.50E+00,743.3333333,85.16666667,5.333333333
50,6.60E+00,743.3666667,84.33333333,5.666666667
60,6.70E+00,743.4,83.5,6
60,6.80E+00,743.4333333,82.66666667,6.333333333
60,6.90E+00,743.4666667,81.83333333,6.666666667
60,7.00E+00,743.5,81,7
190,7.08E+00,743.5,80.66666667,7
220,7.17E+00,743.5,80.33333333,7
170,7.25E+00,743.5,80,7
390,7.33E+00,743.5,79.66666667,7
90,7.42E+00,743.5,79.33333333,7
60,7.50E+00,743.5,79,7
290,7.42E+00,743.5,79.33333333,7.166666667
130,7.33E+00,743.5,79.66666667,7.333333333
140,7.25E+00,743.5,80,7.5
240,7.17E+00,743.5,80.33333333,7.666666667
50,7.08E+00,743.5,80.66666667,7.833333333
60,7.00E+00,743.5,81,8
60,6.98E+00,743.55,80.16666667,7.5
60,6.97E+00,743.6,79.33333333,7
370,6.95E+00,743.65,78.5,6.5
200,6.93E+00,743.7,77.66666667,6
70,6.92E+00,743.75,76.83333333,5.5
50,6.90E+00,743.8,76,5
40,6.80E+00,743.8166667,77,4.833333333
40,6.70E+00,743.8333333,78,4.666666667
30,6.60E+00,743.85,79,4.5
30,6.50E+00,743.8666667,80,4.333333333
30,6.40E+00,743.8833333,81,4.166666667
30,6.30E+00,743.9,82,4
40,6.33E+00,743.95,80.83333333,4.5
50,6.37E+00,744,79.66666667,5
40,6.40E+00,744.05,78.5,5.5
40,6.43E+00,744.1,77.33333333,6
40,6.47E+00,744.15,76.16666667,6.5
60,6.50E+00,744.2,75,7
60,6.32E+00,744.2833333,76.66666667,7
210,6.13E+00,744.3666667,78.33333333,7
380,5.95E+00,744.45,80,7
370,5.77E+00,744.5333333,81.66666667,7
230,5.58E+00,744.6166667,83.33333333,7
80,5.40E+00,744.7,85,7
90,5.30E+00,744.75,86,6.833333333
70,5.20E+00,744.8,87,6.666666667
40,5.10E+00,744.85,88,6.5
40,5.00E+00,744.9,89,6.333333333
30,4.90E+00,744.95,90,6.166666667
50,4.80E+00,745,91,6
50,4.75E+00,745.0333333,91.33333333,6.166666667
60,4.70E+00,745.0666667,91.66666667,6.333333333
50,4.65E+00,745.1,92,6.5
60,4.60E+00,745.1333333,92.33333333,6.666666667
60,4.55E+00,745.1666667,92.66666667,6.833333333
60,4.50E+00,745.2,93,7
50,4.53E+00,745.3166667,92.66666667,6.833333333
50,4.57E+00,745.4333333,92.33333333,6.666666667
50,4.60E+00,745.55,92,6.5
50,4.63E+00,745.6666667,91.66666667,6.333333333
50,4.67E+00,745.7833333,91.33333333,6.166666667
60,4.70E+00,745.9,91,6
60,4.80E+00,745.95,90.5,6.166666667
40,4.90E+00,746,90,6.333333333
30,5.00E+00,746.05,89.5,6.5
30,5.10E+00,746.1,89,6.666666667
30,5.20E+00,746.15,88.5,6.833333333
40,5.30E+00,746.2,88,7
50,5.33E+00,746.2666667,87.33333333,6.833333333
50,5.37E+00,746.3333333,86.66666667,6.666666667
50,5.40E+00,746.4,86,6.5
40,5.43E+00,746.4666667,85.33333333,6.333333333
50,5.47E+00,746.5333333,84.66666667,6.166666667
40,5.50E+00,746.6,84,6
40,5.58E+00,746.7333333,83.33333333,6.333333333
40,5.67E+00,746.8666667,82.66666667,6.666666667
40,5.75E+00,747,82,7
50,5.83E+00,747.1333333,81.33333333,7.333333333
50,5.92E+00,747.2666667,80.66666667,7.666666667
50,6.00E+00,747.4,80,8
30,5.88E+00,747.5333333,81.33333333,8
20,5.77E+00,747.6666667,82.66666667,8
30,5.65E+00,747.8,84,8
20,5.53E+00,747.9333333,85.33333333,8
40,5.42E+00,748.0666667,86.66666667,8
50,5.30E+00,748.2,88,8
60,5.30E+00,748.3166667,88.5,8
50,5.30E+00,748.4333333,89,8
40,5.30E+00,748.55,89.5,8
40,5.30E+00,748.6666667,90,8
50,5.30E+00,748.7833333,90.5,8
40,5.30E+00,748.9,91,8
40,5.33E+00,749.0833333,90.66666667,8
50,5.37E+00,749.2666667,90.33333333,8
50,5.40E+00,749.45,90,8
50,5.43E+00,749.6333333,89.66666667,8
40,5.47E+00,749.8166667,89.33333333,8
30,5.50E+00,750,89,8
20,5.48E+00,750.2,89,8
20,5.47E+00,750.4,89,8
20,5.45E+00,750.6,89,8
50,5.43E+00,750.8,89,8
50,5.42E+00,751,89,8
50,5.40E+00,751.2,89,8
40,5.37E+00,751.3166667,89.16666667,8
40,5.33E+00,751.4333333,89.33333333,8
50,5.30E+00,751.55,89.5,8
40,5.27E+00,751.6666667,89.66666667,8
50,5.23E+00,751.7833333,89.83333333,8
50,5.20E+00,751.9,90,8
50,5.17E+00,752.05,90,7.833333333
40,5.13E+00,752.2,90,7.666666667
40,5.10E+00,752.35,90,7.5
50,5.07E+00,752.5,90,7.333333333
20,5.03E+00,752.65,90,7.166666667
20,5.00E+00,752.8,90,7
50,5.02E+00,752.9833333,89.83333333,6.833333333
30,5.03E+00,753.1666667,89.66666667,6.666666667
50,5.05E+00,753.35,89.5,6.5
50,5.07E+00,753.5333333,89.33333333,6.333333333
200,5.08E+00,753.7166667,89.16666667,6.166666667
110,5.10E+00,753.9,89,6
80,5.08E+00,753.9666667,89.16666667,5.833333333
50,5.07E+00,754.0333333,89.33333333,5.666666667
50,5.05E+00,754.1,89.5,5.5
50,5.03E+00,754.1666667,89.66666667,5.333333333
40,5.02E+00,754.2333333,89.83333333,5.166666667
40,5.00E+00,754.3,90,5
30,5.00E+00,754.45,89.66666667,4.833333333
180,5.00E+00,754.6,89.33333333,4.666666667
350,5.00E+00,754.75,89,4.5
350,5.00E+00,754.9,88.66666667,4.333333333
300,5.00E+00,755.05,88.33333333,4.166666667
400,5.00E+00,755.2,88,4
390,5.00E+00,755.3166667,88,4.166666667
290,5.00E+00,755.4333333,88,4.333333333
60,5.00E+00,755.55,88,4.5
70,5.00E+00,755.6666667,88,4.666666667
110,5.00E+00,755.7833333,88,4.833333333
90,5.00E+00,755.9,88,5
60,5.08E+00,756.0333333,86.83333333,5
70,5.17E+00,756.1666667,85.66666667,5
80,5.25E+00,756.3,84.5,5
60,5.33E+00,756.4333333,83.33333333,5
40,5.42E+00,756.5666667,82.16666667,5
30,5.50E+00,756.7,81,5
70,5.58E+00,756.7833333,80.16666667,5.166666667
50,5.67E+00,756.8666667,79.33333333,5.333333333
80,5.75E+00,756.95,78.5,5.5
80,5.83E+00,757.0333333,77.66666667,5.666666667
50,5.92E+00,757.1166667,76.83333333,5.833333333
40,6.00E+00,757.2,76,6
50,5.92E+00,757.2833333,76.33333333,5.833333333
40,5.83E+00,757.3666667,76.66666667,5.666666667
40,5.75E+00,757.45,77,5.5
50,5.67E+00,757.5333333,77.33333333,5.333333333
30,5.58E+00,757.6166667,77.66666667,5.166666667
30,5.50E+00,757.7,78,5
20,5.73E+00,757.6833333,76.83333333,5
20,5.97E+00,757.6666667,75.66666667,5
50,6.20E+00,757.65,74.5,5
40,6.43E+00,757.6333333,73.33333333,5
50,6.67E+00,757.6166667,72.16666667,5
40,6.90E+00,757.6,71,5
60,6.80E+00,757.55,70.66666667,5.166666667
40,6.70E+00,757.5,70.33333333,5.333333333
40,6.60E+00,757.45,70,5.5
50,6.50E+00,757.4,69.66666667,5.666666667
40,6.40E+00,757.35,69.33333333,5.833333333
40,6.30E+00,757.3,69,6
30,6.32E+00,757.3166667,68,5.666666667
30,6.33E+00,757.3333333,67,5.333333333
30,6.35E+00,757.35,66,5
40,6.37E+00,757.3666667,65,4.666666667
80,6.38E+00,757.3833333,64,4.333333333
70,6.40E+00,757.4,63,4
80,6.17E+00,757.3833333,64.33333333,3.833333333
70,5.93E+00,757.3666667,65.66666667,3.666666667
80,5.70E+00,757.35,67,3.5
80,5.47E+00,757.3333333,68.33333333,3.333333333
100,5.23E+00,757.3166667,69.66666667,3.166666667
90,5.00E+00,757.3,71,3
100,4.78E+00,757.3,72,3
90,4.57E+00,757.3,73,3
110,4.35E+00,757.3,74,3
90,4.13E+00,757.3,75,3
100,3.92E+00,757.3,76,3
100,3.70E+00,757.3,77,3
110,3.53E+00,757.3,79,3
100,3.37E+00,757.3,81,3
90,3.20E+00,757.3,83,3
90,3.03E+00,757.3,85,3
180,2.87E+00,757.3,87,3
140,2.70E+00,757.3,89,3
100,2.78E+00,757.2333333,88.83333333,3.333333333
110,2.87E+00,757.1666667,88.66666667,3.666666667
340,2.95E+00,757.1,88.5,4
380,3.03E+00,757.0333333,88.33333333,4.333333333
210,3.12E+00,756.9666667,88.16666667,4.666666667
150,3.20E+00,756.9,88,5
330,3.17E+00,756.9,88.16666667,5
420,3.13E+00,756.9,88.33333333,5
330,3.10E+00,756.9,88.5,5
130,3.07E+00,756.9,88.66666667,5
130,3.03E+00,756.9,88.83333333,5
110,3.00E+00,756.9,89,5
250,2.95E+00,756.8166667,88.83333333,5
520,2.90E+00,756.7333333,88.66666667,5
360,2.85E+00,756.65,88.5,5
330,2.80E+00,756.5666667,88.33333333,5
310,2.75E+00,756.4833333,88.16666667,5
270,2.70E+00,756.4,88,5
230,2.78E+00,756.3166667,87.66666667,5.166666667
170,2.87E+00,756.2333333,87.33333333,5.333333333
60,2.95E+00,756.15,87,5.5
30,3.03E+00,756.0666667,86.66666667,5.666666667
30,3.12E+00,755.9833333,86.33333333,5.833333333
30,3.20E+00,755.9,86,6
40,3.13E+00,755.8333333,86.5,5.833333333
50,3.07E+00,755.7666667,87,5.666666667
50,3.00E+00,755.7,87.5,5.5
40,2.93E+00,755.6333333,88,5.333333333
40,2.87E+00,755.5666667,88.5,5.166666667
50,2.80E+00,755.5,89,5
50,2.82E+00,755.3666667,89.16666667,5
40,2.83E+00,755.2333333,89.33333333,5
60,2.85E+00,755.1,89.5,5
40,2.87E+00,754.9666667,89.66666667,5
40,2.88E+00,754.8333333,89.83333333,5
50,2.90E+00,754.7,90,5
40,2.88E+00,754.5666667,90.5,5
30,2.87E+00,754.4333333,91,5
30,2.85E+00,754.3,91.5,5
30,2.83E+00,754.1666667,92,5
40,2.82E+00,754.0333333,92.5,5
40,2.80E+00,753.9,93,5
50,2.87E+00,753.7333333,92.33333333,5.166666667
40,2.93E+00,753.5666667,91.66666667,5.333333333
40,3.00E+00,753.4,91,5.5
40,3.07E+00,753.2333333,90.33333333,5.666666667
50,3.13E+00,753.0666667,89.66666667,5.833333333
50,3.20E+00,752.9,89,6
50,3.23E+00,752.7666667,89,5.833333333
40,3.27E+00,752.6333333,89,5.666666667
50,3.30E+00,752.5,89,5.5
40,3.33E+00,752.3666667,89,5.333333333
40,3.37E+00,752.2333333,89,5.166666667
20,3.40E+00,752.1,89,5
30,3.38E+00,751.9166667,89.16666667,5.166666667
30,3.37E+00,751.7333333,89.33333333,5.333333333
40,3.35E+00,751.55,89.5,5.5
50,3.33E+00,751.3666667,89.66666667,5.666666667
40,3.32E+00,751.1833333,89.83333333,5.833333333
40,3.30E+00,751,90,6
50,3.32E+00,750.8666667,90,5.833333333
40,3.33E+00,750.7333333,90,5.666666667
50,3.35E+00,750.6,90,5.5
50,3.37E+00,750.4666667,90,5.333333333
40,3.38E+00,750.3333333,90,5.166666667
50,3.40E+00,750.2,90,5
40,3.50E+00,750.0833333,89.83333333,5.666666667
40,3.60E+00,749.9666667,89.66666667,6.333333333
40,3.70E+00,749.85,89.5,7
40,3.80E+00,749.7333333,89.33333333,7.666666667
30,3.90E+00,749.6166667,89.16666667,8.333333333
70,4.00E+00,749.5,89,9
360,3.95E+00,749.4,89.5,8.833333333
400,3.90E+00,749.3,90,8.666666667
70,3.85E+00,749.2,90.5,8.5
70,3.80E+00,749.1,91,8.333333333
390,3.75E+00,749,91.5,8.166666667
100,3.70E+00,748.9,92,8
80,3.30E+00,749,93,7.166666667
70,2.90E+00,749.1,94,6.333333333
170,2.50E+00,749.2,95,5.5
360,2.10E+00,749.3,96,4.666666667
180,1.70E+00,749.4,97,3.833333333
130,1.30E+00,749.5,98,3
70,1.40E+00,749.3666667,97.5,3.5
70,1.50E+00,749.2333333,97,4
180,1.60E+00,749.1,96.5,4.5
170,1.70E+00,748.9666667,96,5
390,1.80E+00,748.8333333,95.5,5.5
420,1.90E+00,748.7,95,6
340,1.97E+00,748.7333333,94.66666667,5.666666667
550,2.03E+00,748.7666667,94.33333333,5.333333333
690,2.10E+00,748.8,94,5
620,2.17E+00,748.8333333,93.66666667,4.666666667
610,2.23E+00,748.8666667,93.33333333,4.333333333
490,2.30E+00,748.9,93,4
260,2.40E+00,748.85,92.83333333,4.166666667
240,2.50E+00,748.8,92.66666667,4.333333333
220,2.60E+00,748.75,92.5,4.5
130,2.70E+00,748.7,92.33333333,4.666666667
90,2.80E+00,748.65,92.16666667,4.833333333
290,2.90E+00,748.6,92,5
410,3.12E+00,748.55,91.33333333,5.166666667
320,3.33E+00,748.5,90.66666667,5.333333333
260,3.55E+00,748.45,90,5.5
210,3.77E+00,748.4,89.33333333,5.666666667
210,3.98E+00,748.35,88.66666667,5.833333333
140,4.20E+00,748.3,88,6
60,4.30E+00,748.2166667,87.5,6
50,4.40E+00,748.1333333,87,6
60,4.50E+00,748.05,86.5,6
50,4.60E+00,747.9666667,86,6
60,4.70E+00,747.8833333,85.5,6
140,4.80E+00,747.8,85,6
270,4.92E+00,747.7333333,84.83333333,6
200,5.03E+00,747.6666667,84.66666667,6
60,5.15E+00,747.6,84.5,6
50,5.27E+00,747.5333333,84.33333333,6
60,5.38E+00,747.4666667,84.16666667,6
80,5.50E+00,747.4,84,6
50,5.48E+00,747.4333333,83.16666667,6
40,5.47E+00,747.4666667,82.33333333,6
50,5.45E+00,747.5,81.5,6
50,5.43E+00,747.5333333,80.66666667,6
40,5.42E+00,747.5666667,79.83333333,6
30,5.40E+00,747.6,79,6
30,5.27E+00,747.65,78.5,6.166666667
200,5.13E+00,747.7,78,6.333333333
450,5.00E+00,747.75,77.5,6.5
400,4.87E+00,747.8,77,6.666666667
740,4.73E+00,747.85,76.5,6.833333333
910,4.60E+00,747.9,76,7
610,4.58E+00,747.9333333,76,6.833333333
510,4.57E+00,747.9666667,76,6.666666667
190,4.55E+00,748,76,6.5
110,4.53E+00,748.0333333,76,6.333333333
100,4.52E+00,748.0666667,76,6.166666667
90,4.50E+00,748.1,76,6
110,4.42E+00,748.1666667,76.16666667,6.166666667
100,4.33E+00,748.2333333,76.33333333,6.333333333
110,4.25E+00,748.3,76.5,6.5
100,4.17E+00,748.3666667,76.66666667,6.666666667
790,4.08E+00,748.4333333,76.83333333,6.833333333
380,4.00E+00,748.5,77,7
360,3.90E+00,748.55,78.5,7.166666667
360,3.80E+00,748.6,80,7.333333333
100,3.70E+00,748.65,81.5,7.5
100,3.60E+00,748.7,83,7.666666667
90,3.50E+00,748.75,84.5,7.833333333
90,3.40E+00,748.8,86,8
110,3.50E+00,748.85,83.33333333,8.333333333
140,3.60E+00,748.9,80.66666667,8.666666667
110,3.70E+00,748.95,78,9
100,3.80E+00,749,75.33333333,9.333333333
110,3.90E+00,749.05,72.66666667,9.666666667
130,4.00E+00,749.1,70,10
140,3.92E+00,749.1666667,70,9.666666667
130,3.83E+00,749.2333333,70,9.333333333
120,3.75E+00,749.3,70,9
100,3.67E+00,749.3666667,70,8.666666667
80,3.58E+00,749.4333333,70,8.333333333
50,3.50E+00,749.5,70,8
50,3.15E+00,749.5166667,73.66666667,7.833333333
50,2.80E+00,749.5333333,77.33333333,7.666666667
40,2.45E+00,749.55,81,7.5
50,2.10E+00,749.5666667,84.66666667,7.333333333
50,1.75E+00,749.5833333,88.33333333,7.166666667
50,1.40E+00,749.6,92,7
40,1.30E+00,749.55,92.33333333,7.333333333
30,1.20E+00,749.5,92.66666667,7.666666667
30,1.10E+00,749.45,93,8
40,1.00E+00,749.4,93.33333333,8.333333333
40,9.00E-01,749.35,93.66666667,8.666666667
50,8.00E-01,749.3,94,9
60,6.67E-01,749.2833333,95,9.166666667
50,5.33E-01,749.2666667,96,9.333333333
60,4.00E-01,749.25,97,9.5
50,2.67E-01,749.2333333,98,9.666666667
50,1.33E-01,749.2166667,99,9.833333333
50,0.00E+00,749.2,100,10
50,6.67E-02,749.2333333,99.83333333,10
50,1.33E-01,749.2666667,99.66666667,10
50,2.00E-01,749.3,99.5,10
60,2.67E-01,749.3333333,99.33333333,10
50,3.33E-01,749.3666667,99.16666667,10
50,4.00E-01,749.4,99,10
50,5.50E-01,749.5166667,97.83333333,10.16666667
50,7.00E-01,749.6333333,96.66666667,10.33333333
40,8.50E-01,749.75,95.5,10.5
50,1.00E+00,749.8666667,94.33333333,10.66666667
40,1.15E+00,749.9833333,93.16666667,10.83333333
30,1.30E+00,750.1,92,11
40,1.53E+00,750.2166667,90.5,10.83333333
30,1.77E+00,750.3333333,89,10.66666667
60,2.00E+00,750.45,87.5,10.5
50,2.23E+00,750.5666667,86,10.33333333
50,2.47E+00,750.6833333,84.5,10.16666667
40,2.70E+00,750.8,83,10
50,2.75E+00,750.8833333,81.83333333,10
60,2.80E+00,750.9666667,80.66666667,10
50,2.85E+00,751.05,79.5,10
50,2.90E+00,751.1333333,78.33333333,10
50,2.95E+00,751.2166667,77.16666667,10
50,3.00E+00,751.3,76,10
40,3.03E+00,751.3833333,75.33333333,10
50,3.07E+00,751.4666667,74.66666667,10
50,3.10E+00,751.55,74,10
50,3.13E+00,751.6333333,73.33333333,10
60,3.17E+00,751.7166667,72.66666667,10
50,3.20E+00,751.8,72,10
40,3.20E+00,751.8833333,72.66666667,9.833333333
50,3.20E+00,751.9666667,73.33333333,9.666666667
50,3.20E+00,752.05,74,9.5
50,3.20E+00,752.1333333,74.66666667,9.333333333
30,3.20E+00,752.2166667,75.33333333,9.166666667
70,3.20E+00,752.3,76,9
50,3.20E+00,752.3833333,76.33333333,8.833333333
50,3.20E+00,752.4666667,76.66666667,8.666666667
50,3.20E+00,752.55,77,8.5
50,3.20E+00,752.6333333,77.33333333,8.333333333
40,3.20E+00,752.7166667,77.66666667,8.166666667
50,3.20E+00,752.8,78,8
50,3.20E+00,752.8666667,78.33333333,8.333333333
150,3.20E+00,752.9333333,78.66666667,8.666666667
390,3.20E+00,753,79,9
390,3.20E+00,753.0666667,79.33333333,9.333333333
380,3.20E+00,753.1333333,79.66666667,9.666666667
400,3.20E+00,753.2,80,10
370,3.20E+00,753.2833333,80.33333333,9.833333333
310,3.20E+00,753.3666667,80.66666667,9.666666667
40,3.20E+00,753.45,81,9.5
50,3.20E+00,753.5333333,81.33333333,9.333333333
70,3.20E+00,753.6166667,81.66666667,9.166666667
60,3.20E+00,753.7,82,9
90,3.32E+00,753.8,82,8.833333333
60,3.43E+00,753.9,82,8.666666667
60,3.55E+00,754,82,8.5
100,3.67E+00,754.1,82,8.333333333
380,3.78E+00,754.2,82,8.166666667
390,3.90E+00,754.3,82,8
130,3.87E+00,754.3666667,83,8.166666667
60,3.83E+00,754.4333333,84,8.333333333
60,3.80E+00,754.5,85,8.5
50,3.77E+00,754.5666667,86,8.666666667
60,3.73E+00,754.6333333,87,8.833333333
60,3.70E+00,754.7,88,9
240,3.73E+00,754.75,87.83333333,8.833333333
80,3.77E+00,754.8,87.66666667,8.666666667
80,3.80E+00,754.85,87.5,8.5
400,3.83E+00,754.9,87.33333333,8.333333333
400,3.87E+00,754.95,87.16666667,8.166666667
460,3.90E+00,755,87,8
170,3.95E+00,755,86.83333333,8
210,4.00E+00,755,86.66666667,8
190,4.05E+00,755,86.5,8
70,4.10E+00,755,86.33333333,8
80,4.15E+00,755,86.16666667,8
60,4.20E+00,755,86,8
70,4.25E+00,755.05,85.66666667,8
60,4.30E+00,755.1,85.33333333,8
70,4.35E+00,755.15,85,8
60,4.40E+00,755.2,84.66666667,8
60,4.45E+00,755.25,84.33333333,8
60,4.50E+00,755.3,84,8
60,4.03E+00,755.45,86,7.833333333
60,3.57E+00,755.6,88,7.666666667
50,3.10E+00,755.75,90,7.5
50,2.63E+00,755.9,92,7.333333333
60,2.17E+00,756.05,94,7.166666667
50,1.70E+00,756.2,96,7
50,1.78E+00,756.2666667,95.66666667,7
70,1.87E+00,756.3333333,95.33333333,7
50,1.95E+00,756.4,95,7
60,2.03E+00,756.4666667,94.66666667,7
60,2.12E+00,756.5333333,94.33333333,7
90,2.20E+00,756.6,94,7
100,2.32E+00,756.7166667,93.83333333,6.666666667
90,2.43E+00,756.8333333,93.66666667,6.333333333
100,2.55E+00,756.95,93.5,6
110,2.67E+00,757.0666667,93.33333333,5.666666667
100,2.78E+00,757.1833333,93.16666667,5.333333333
80,2.90E+00,757.3,93,5
110,2.83E+00,757.4166667,93,5.333333333
260,2.77E+00,757.5333333,93,5.666666667
350,2.70E+00,757.65,93,6
500,2.63E+00,757.7666667,93,6.333333333
370,2.57E+00,757.8833333,93,6.666666667
330,2.50E+00,758,93,7
100,2.50E+00,758.1333333,93.66666667,6.666666667
110,2.50E+00,758.2666667,94.33333333,6.333333333
140,2.50E+00,758.4,95,6
310,2.50E+00,758.5333333,95.66666667,5.666666667
330,2.50E+00,758.6666667,96.33333333,5.333333333
190,2.50E+00,758.8,97,5
160,2.45E+00,758.8833333,97,4.833333333
160,2.40E+00,758.9666667,97,4.666666667
480,2.35E+00,759.05,97,4.5
280,2.30E+00,759.1333333,97,4.333333333
130,2.25E+00,759.2166667,97,4.166666667
150,2.20E+00,759.3,97,4
140,2.20E+00,759.4166667,96.83333333,4
130,2.20E+00,759.5333333,96.66666667,4
130,2.20E+00,759.65,96.5,4
340,2.20E+00,759.7666667,96.33333333,4
490,2.20E+00,759.8833333,96.16666667,4
230,2.20E+00,760,96,4
360,2.28E+00,760.1,95.83333333,3.833333333
410,2.37E+00,760.2,95.66666667,3.666666667
150,2.45E+00,760.3,95.5,3.5
80,2.53E+00,760.4,95.33333333,3.333333333
80,2.62E+00,760.5,95.16666667,3.166666667
70,2.70E+00,760.6,95,3
70,2.65E+00,760.6833333,95.33333333,3
70,2.60E+00,760.7666667,95.66666667,3
60,2.55E+00,760.85,96,3
60,2.50E+00,760.9333333,96.33333333,3
50,2.45E+00,761.0166667,96.66666667,3
50,2.40E+00,761.1,97,3
50,2.38E+00,761.1583333,96.83333333,3.166666667
30,2.35E+00,761.2166667,96.66666667,3.333333333
20,2.33E+00,761.275,96.5,3.5
40,2.30E+00,761.3333333,96.33333333,3.666666667
50,2.27E+00,761.3916667,96.16666667,3.833333333
50,2.25E+00,761.45,96,4
50,2.23E+00,761.5083333,95.83333333,4.166666667
60,2.20E+00,761.5666667,95.66666667,4.333333333
50,2.17E+00,761.625,95.5,4.5
60,2.15E+00,761.6833333,95.33333333,4.666666667
50,2.13E+00,761.7416667,95.16666667,4.833333333
40,2.10E+00,761.8,95,5
50,2.00E+00,761.8666667,95,4.5
50,1.90E+00,761.9333333,95,4
50,1.80E+00,762,95,3.5
50,1.70E+00,762.0666667,95,3
40,1.60E+00,762.1333333,95,2.5
30,1.50E+00,762.2,95,2
30,1.35E+00,762.2166667,95.33333333,2
40,1.20E+00,762.2333333,95.66666667,2
